Aff,Neg,Judges,Votes,Win
Isidore Newman AB,Edina NR,"Jonathan Alston																																						Elliot Harvanko																																						Hannah Stafford","Aff																															Neg																															Aff","2-1																															AFF"
Peninsula AL,BASIS Scottsdale TK,"Christian Han																																						Sachin Aggarwal																																						Patrick Fox","Neg																															Neg																															Aff","2-1																															NEG"
Lakeville South EH,Greenhill SK,"Ryan Davis																																						Leo Hickey																																						Dylan Liu","Aff																															Neg																															Neg","2-1																															NEG"
St Luke's DG,Harvard-Westlake EG,"Rodrigo Paramo																																						Elizabeth Elliott																																						Ben Kleiman","Aff																															Aff																															Aff","3-0																															AFF"
Kinkaid SZ,Seven Lakes VS,"Elliot Harvanko																																						Patrick Fox																																						Kate Totz","Neg																															Neg																															Neg","3-0																															NEG"
Iowa City West JL,Jordan KV,"Nine Abad																																						Rusem Paul																																						Conal Thomas-McGinnis","Neg																															Neg																															Neg","3-0																															NEG"
Newark Science AL,Lexington AL,"Ben Kleiman																																						Mark Kivimaki																																						Elijah Smith","Aff																															Aff																															Aff","3-0																															AFF"
Peninsula KN,Acton-Boxborough NK,"Nate Graziano																																						Sam Anderson																																						Kate Totz","Neg																															Neg																															Aff","2-1																															NEG"
Peninsula AY,Head-Royce AJ,"Bryce Sheffield																																						Christian Han																																						Sam Anderson","Neg																															Aff																															Neg","2-1																															NEG"
Northern Valley AC,Delores Taylor Arthur School for Young Men JB,"Bryce Sheffield																																						Gordon Krauss																																						Vontrez White","Aff																															Neg																															Aff","2-1																															AFF"
Valley Christian CL,Acton-Boxborough AK,"Sachin Aggarwal																																						David McGinnis																																						Chongwoo Kim","Neg																															Neg																															Aff","2-1																															NEG"
Harvard-Westlake AM,Flower Mound AM,"Elizabeth Elliott																																						Kristin Neary																																						Alex Borgas","Neg																															Aff																															Neg","2-1																															NEG"
Sonoma AM,Greenhill VT,"Jonathan Alston																																						Nate Graziano																																						Vontrez White","Aff																															Aff																															Aff","3-0																															AFF"
Jordan FJ,Mountain Lakes EW,"Nine Abad																																						Ryan Davis																																						Alex Borgas","Aff																															Neg																															Neg","2-1																															NEG"
Horace Greeley SG,Cary Acad PL,"Raunit Singh																																						Mark Kivimaki																																						Leo Hickey","Aff																															Aff																															Aff","3-0																															AFF"
Harvard-Westlake KM,Greenhill AK,"Blake Ziegler																																						David Coates																																						Joe Schmitt","Neg																															Aff																															Aff","2-1																															AFF"
